osm_id,osm_type,name,lat,lon,phone,type,city,state,address,opening_hours,website,source
11802071662,node,Bara Hindu Rao Police Station,28.665724,77.208054,,police,,,,,,overpass
11240687860,node,Baratang Police Station,12.165508,92.776565,,police,,,,,,overpass
11240935163,node,Baratang Police Station,13.244585,92.976733,,police,,,,,,overpass
13172543048,node,Bariatu Thana,23.393413,85.348445,,police,,,,,,overpass
7698626495,node,Barora Police Station,23.813273,86.237528,,police,,,,,,overpass
837320495,way,Barpeta Road Police Thana,26.497853,90.969315,,police,,,,,,overpass
1330344687,way,Basavangudi Police Station,12.942187,77.574333,,police,,,,,,overpass
1458729111,way,Basaveshwaranagar Police Station,12.985417,77.542602,,police,,,,,,overpass
2319238560,node,Bashistha Police Station,26.112649,91.794873,,police,,,,,,overpass
2420756045,node,Bavdhan Police Chowki,18.522496,73.779584,,police,,,,,,overpass
762031782,node,Bawana Police station,28.805512,77.025642,,police,,,,,,overpass
10807355551,node,Bawngkawn Police Station,23.753454,92.728100,0389-2340758,police,,,,,,overpass
4369459055,node,Begum Peth Police Station,17.672316,75.908853,,police,,,,,,overpass
817354500,node,Begumpet Police Station,17.443961,78.474784,,police,,,,,,overpass
902311102,node,Begumpet Traffic Police,17.443630,78.479090,,police,,,,,,overpass
3363195847,node,Behala Thana,22.503528,88.319003,,police,,,,,,overpass
13630399559,node,Belakoba Police Outpost,26.594722,88.588969,,police,,,,,,overpass
1378250710,way,Beleghata Police Station,22.564602,88.396142,,police,,,,,,overpass
1071262161,way,Bellandur Traffic Police Station,12.921810,77.661588,,police,,,,,,overpass
3155683283,node,Bellary Rural Police Station,15.144562,76.925315,,police,,,,,,overpass
1393454654,way,Berhampur Police station,21.532199,86.652911,,police,,,,,,overpass
4288234794,node,Betim Police Station,15.506406,73.825630,,police,,,,,,overpass
2044020905,node,Bettiah Main Police Station,26.801302,84.535194,,police,,,,,,overpass
6156178612,node,Bhagaduttapur Police station,26.133878,91.766626,,police,,,,,,overpass
12102232103,node,Bhakti Nagar Police Station,22.277138,70.811432,,police,,,,,,overpass
8221578802,node,Bhaktinagar Police Station,26.748642,88.438673,,police,,,,,,overpass
774382360,node,Bhanodi Police Post,32.962258,76.180578,,police,,,,,,overpass
2857451672,node,Bharari Police Station,31.532229,76.662543,,police,,,,,,overpass
